Units,Fuel,Keepership,ONS Sort,ONS Code,ONS Geography [note 6],Q 41,Q 40,Q 39,Q 38,Q 37,Q 36,Q 35,Q 34,Q 33,Q 32,Q 31,Q 30,Q 29,Q 28,Q 27,Q 26,Q 25,Q 24,Q 23,Q 22,Q 21,Q 20,Q 19,Q 18,Q 17,Q 16,Q 15,Q 14,Q 13,Q 12,Q 11,Q 10,Q 9,Q 8,Q 7,Q 6,Q 5,Q 4,Q 3,Q 2,Q 1
Number,Battery electric,Company,1,K02000001,United Kingdom,241778,197411,168341,140650,117039,85234,61032,53097,41442,33640,27834,24974,22442,20913,19740,18849,17383,16965,16052,15401,14170,13610,12920,12747,11658,10831,10401,10207,9507,8912,8261,7682,7152,6923,6805,6460,6286,5993,5877,5715,5541
Number,Battery electric,Company,2,K03000001,Great Britain,239042,195159,166433,139132,115819,84338,60459,52618,41088,33324,27567,24741,22256,20735,19549,18665,17211,16792,15869,15213,13986,13432,12745,12559,11510,10679,10246,10054,9383,8796,8156,7592,7075,6848,6736,6408,6245,5955,5849,5695,5526
Number,Battery electric,Company,3,E92000001,England,223818,181977,154621,128692,107363,78280,56054,48670,37992,30630,25325,22777,20544,19105,17981,17183,15865,15442,14554,13919,12800,12270,11626,11505,10517,9729,9282,9095,8520,7998,7403,6920,6471,6269,6166,5879,5733,5475,5417,5311,5188
Number,Battery electric,Company,4,E12000001,North East,2239,1741,1461,1201,1039,884,681,653,527,519,429,428,422,409,409,412,405,392,401,400,384,370,374,365,352,343,347,338,308,282,274,273,274,276,275,260,246,231,230,206,211
Number,Battery electric,Company,5,E06000047,   County Durham,352,284,233,183,175,142,110,103,55,57,72,76,84,82,78,79,81,81,93,91,89,90,90,88,83,77,79,65,47,46,43,44,39,36,30,25,22,22,21,21,46
Number,Battery electric,Company,6,E06000005,   Darlington,358,189,146,114,103,96,82,82,73,63,51,51,46,47,45,42,41,32,24,24,24,14,10,12,9,9,12,14,15,8,8,7,7,8,8,7,5,5,5,0,0
Number,Battery electric,Company,7,E06000001,   Hartlepool,40,29,22,15,14,12,9,9,9,9,7,7,6,7,7,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,6,0,0
Number,Battery electric,Company,8,E06000002,   Middlesbrough,57,49,49,42,32,27,15,15,13,17,13,11,10,9,10,9,6,7,10,10,9,9,9,14,12,15,10,12,12,10,9,9,9,10,10,0,0,0,0,0,0
Number,Battery electric,Company,9,E06000057,   Northumberland,256,227,188,155,128,106,77,72,61,58,50,49,53,47,47,50,57,59,57,57,50,45,48,48,47,43,42,43,38,26,26,34,33,34,30,29,29,30,29,29,30
Number,Battery electric,Company,10,E06000003,   Redcar and Cleveland,107,97,55,28,24,19,16,15,15,14,11,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
